"","CD3","CD4","CD8a","CD11b","CD14","CD15","CD16","CD19","CD20","CD25","CD27","CD28","CD34","CD45RA","CD45RO","CD56","CD62L","CD69","CD80","CD86","CD127","CD137","CD197","CD274","CD278","CD335","PD.1","HLA.DR","TIGIT","cluster.info"
"1289",959,1140,8,13,10,17,2,5,14,5,739,136,0,115,20,3,214,18,1,3,57,3,23,4,151,6,13,14,3,"naive CD4 T"
"1290",483,1285,3,8,4,3,1,6,6,15,136,151,0,8,100,2,4,7,1,3,99,4,3,2,41,0,14,12,1,"mem CD4 T"
"1291",292,826,3,13,6,11,0,3,4,18,3,70,0,8,83,2,1,13,1,1,94,2,6,2,22,4,5,11,2,"mem CD4 T"
"1292",180,1264,24,8,18,18,1,5,12,17,44,116,0,10,215,3,5,25,1,2,88,2,5,1,88,4,3,22,4,"mem CD4 T"
"1293",1311,1568,9,14,11,14,5,7,17,84,1911,559,0,7,211,5,13,10,4,11,16,3,15,3,1245,8,25,14,50,"mem CD4 T"
"1294",368,531,3,6,9,10,1,2,8,1,312,64,0,411,6,0,34,4,1,1,46,4,7,2,25,2,4,11,4,"naive CD4 T"
"1295",437,2,195,8,8,10,3,1,9,6,669,65,0,815,5,3,5,8,1,2,55,2,9,2,41,3,3,10,8,"CD8 T"
"1296",11,171,8,2360,866,17,4,8,12,15,4,23,0,88,32,7,14,21,3,233,9,19,16,6,9,3,9,774,3,"CD14 Mono"
"1297",18,303,10,4688,832,18,2,3,19,16,11,17,0,15,204,10,44,47,6,262,7,7,8,3,10,4,13,222,5,"CD14 Mono"
"1298",710,958,3,6,18,7,4,2,10,5,502,135,0,23,53,4,15,8,2,4,33,1,7,3,78,3,9,5,1,"mem CD4 T"
"1299",12,266,9,256,87,12,73,4,10,7,2,12,2,626,15,5,3,21,2,227,5,1,7,3,1,2,4,1961,0,"CD14 Mono"
"1300",875,1365,5,11,15,13,1,2,12,16,647,166,0,445,14,2,327,7,3,3,66,4,17,1,100,4,8,9,2,"naive CD4 T"
"1301",841,1509,6,19,5,13,2,5,12,7,676,207,0,47,63,4,8,22,6,0,120,3,11,14,178,11,10,11,2,"mem CD4 T"
"1302",76,7,2,4,13,11,1,3,6,0,345,53,0,404,2,4,3,8,0,1,41,2,41,3,14,2,2,15,0,"naive CD4 T"
